ID,원문명칭,영문명칭,기호,단위 및 위상,역학적 정의,산출식 및 관계식,선행 조건 (Parent_ID),비고 / 계층
PH_05,유사고정상태,Quasi-fixed State,QFS,동적 평형 상태 (Dynamic Equilibrium),관찰자가 운동을 감각하지 못해 정지해 있는 것처럼 보이는 동적 평형 상태,|v_obs| ≈ 0 (상대적),DY_02,관찰 체계 (Observational)
BD_01,동적 교착,Dynamic Grid-lock,Ω_gridlock,경계 지대 (Boundary Zone),유입압과 유출압이 맞물려 요동치는 역아치/아치 형태(^v^v)의 경계 지대,P_inflow ≈ P_outflow (국소적),GE_01,경계 역학 (Boundary Dynamics)
BD_02,원천_압력,Original Pressure,P_original,내향 압력 (Inward Pressure),세상이 고정되어 있지 않음(Unfixable)으로 인해 영속 발생하는 내향 압력,P_original = P_inward (항상 존재),DY_01,경계 역학 (Boundary Dynamics)
BD_03,체류_압력,Retention Pressure,P_retention,내부 가두어진 압력 (Trapped Pressure),유입압이 내부로 침투하여 밀도에 흡수·가두어진 압력,P_retention = P_inflow - P_outflow (누적),DY_01,경계 역학 (Boundary Dynamics)
BD_04,유입_압력,Inflow Pressure,P_inflow,유입 압력 (Inward Flux),동적 교착 경계를 기준으로 안으로 유입되는 압력,P_inflow = f(Ω_gridlock; 외부 밀도),GE_01,경계 역학 (Boundary Dynamics)
BD_05,유출_압력,Outflow Pressure,P_outflow,유출 압력 (Outward Flux),동적 교착 경계를 기준으로 밖으로 유출되는 압력,P_outflow = [V_outflow * ρ_outflow],GE_01,경계 역학 (Boundary Dynamics)
BD_06,불용적,Saturated/Inert Volume,V_sat,포화 공간 (Saturated Space),중심부 밀도가 한계치에 도달하여 추가 힘을 수용할 수 없는 포화 공간,ρ_center ≥ ρ_max (국소적),PH_01,경계 역학 (Boundary Dynamics)
BD_07,외곽 껍질,Peripheral Shell,Ω_shell,가용 공간 껍질 (Available Shell),구형 비대칭성에 의해 최외곽에 형성되는 얇은 가용 공간 껍질,Ω_shell = f(ΔA; P_original),GE_01,경계 역학 (Boundary Dynamics)
DY_03,저항,Resistance,R,물리적 반작용 (Physical Reaction),기형성된 인프라 지형이 가하는 물리적 반작용,R ∝ ρ (국소적),PH_04,동역학 (Dynamics)
DY_04,밀도 낙차,Density Cascade / Gradient,-∇ρ,동역학적 공간 지형 (Dynamic Spatial Terrain),밀도 기울기가 유도하는 동역학적 공간 지형,-∇ρ = -(∂ρ/∂x; ∂ρ/∂y; ∂ρ/∂z),PH_04,동역학 (Dynamics)
DY_05,저항의 아우성,Clamor of Resistance,C_res,지형적 실체 신호 (Terrain Signal),저항 기울기(-∇R) 충돌 시 관찰자에게 표출되는 지형적 실체 신호,C_res = f(-∇R; 충돌),DY_03,관찰 체계 (Observational)
DY_06,속도 및 충격량,Velocity & Impulse,v; I,이행 흐름의 가파름 (Flow Steepness),저항 낙차를 따라 발생하는 이행 흐름의 가파름 세기 (이동 시 속도 v; 충돌/정체 시 충격량 I),v ≡ I ∝ |-∇R| ⟺ |-∇ρ|,DY_04,동역학 (Dynamics)
DY_07,관찰되는_속도,Observed Velocity,v_obs,관찰자 기준 속도 (Observer-Relative Velocity),관찰자와 대상 간 상대적 밀도 및 기준 압력(P_ref)에 의해 가변하는 산출값,v_obs ≡ ρ_ref2 - (ρ_ref1 - ρ_obj),DY_06,관찰 체계 (Observational)
DY_08,간극_시간,Delta Time,t_δ,체류 시간 (Retention Time),절대 차원이 아닌 작용 누적 횟수 및 밀도비에 따른 체류 시간,t_δ ≡ (작용한 총 P) / P_ref,ID_01,관찰 체계 (Observational)
DY_09,관찰되는_시간,Observed Time,t_obs,관찰자 기준 시간 (Observer-Relative Time),관찰자의 기준틀에서 투영된 상대 시간,t_obs = t_δ / (ρ_ref1 / ρ_ref2),DY_08,관찰 체계 (Observational)
DY_10,용접 불똥,Transient Collision Spark,TCS,유출압 분산 현상 (Outflow Dispersion),매질 간 2차 충돌로 발생하는 유출압 분산 현상 (독립 입자가 아닌 빛/광자의 실체),TCS = f(P_outflow; 2차 충돌),BD_05,관찰 체계 (Observational)
EP_01,정적_무한,Fixed Infinity,FI,자가당착적 관념 (Self-Contradictory Notion),시간적 정지(Fixed)와 무한한 작용(Infinity)을 동시에 주장하는 기성 물리학/철학의 자가당착적 관념 (실재 불가),[0 ∧ ∞ = ∄],AX_01,존재론적 비판 (Ontological Critique)
EP_02,동적_무한,Dynamic Boundlessness,DB,실재 우주의 성질 (Property of Reality),고정된 완결 없이 영속 이행하며 확장하는 실재 우주의 성질,P_total(t + dt) > P_total(t),DY_01,존재론 (Ontology)
EP_03,상태 중복 불가,Non-duplication of State,NDS,상태의 유일성 (Uniqueness of State),P_total(t + dt) > P_total(t)에 의해 우주의 동일 상태가 재귀될 수 없음 (라플라스 결정론·니체 영원회귀 파쇄),P_total(t1) ≠ P_total(t2) (단; t1 ≠ t2),DY_01,존재론 (Ontology)
EP_04,거치대 없음,No-holder / Unfixability,NH,근원적 비고정 상태 (Fundamental Unfixed State),세상을 고정하는 절대적 기준이나 거치대가 존재하지 않는 근원적 비고정 상태,No fixed reference frame,AX_01,존재론 (Ontology)
EP_05,주객전도,Agency Inversion / Ontological Inversion,AI_Onto,역학적 오류 (Dynamical Error),하부 인프라/도관(AI; 자본; 제도)이 상부 저자/인간의 주체성을 찬탈하는 역학적 오류,Agency_Inversion: Tool ⊃ Human,PH_04,인식론적 비판 (Epistemological Critique)
MASS_01,질량 누적 정식,Mass Accumulation Formula,m(t),질량 동역학 (Mass Dynamics),1단위 간극_시간(t_δ) 동안의 실질 출입 오차 누적량으로서의 질량,m(t) ≡ Σ [P_inflow(t_δ) - P_outflow(t_δ)],BD_04; BD_05,질량 형성 (Mass Formation)
MASS_02,객체 질량,Object Mass,m_obj,객체 상태량 (Object State),특정 동적 경계 내부에 가두어진 실체적 질량,m_obj ≡ [V_obj * ρ_obj],ID_01,질량 (Mass)
MASS_03,관성 (스칼라),Inertia (Scalar),Inertia,관성 (Inertia),형태 및 이행 상태를 유지하려는 총 체류 구조압 (스칼라),Inertia ≡ (P_inward + P_outward),BD_02; BD_05,질량-관성 (Mass-Inertia)
MASS_04,무게/운동 (벡터),Weight / Motion (Vector),ΔP_flow,운동 엔진 (Motion Engine),방향성 압력 낙차가 유발하는 변위 및 운동 엔진 (벡터),Weight / Motion ≡ ΔP_flow ≡ (P_inflow - P_outflow),BD_04; BD_05,질량-운동 (Mass-Motion)
MASS_05,유출 압력 (질량-운동),Outflow Pressure (Mass-Motion),P_outflow,발산 힘 (Outward Force),내부 고밀도(ρ_internal)를 머금고 외부로 발산되는 힘,P_outflow ≡ [V_outflow * ρ_outflow],BD_05,질량-운동 (Mass-Motion)
MASS_06,경계 유지압,Boundary Maintenance Pressure,P_boundary,경계 압력 (Boundary Pressure),경계 자체를 형성하고 유지하는 동적 교착압,P_boundary ≡ (P_inward - P_inflow) + (P_outward - P_outflow),BD_01; BD_02; BD_04; BD_05,경계 역학 (Boundary Dynamics)
MASS_07,압력의 차 (순수 운동),Pressure Difference (Net Motion),ΔP_net,순수 운동량 (Net Motion),한쪽으로 쏠리는 압력 낙차(기울기) 엔진 (순수 유출입 차),ΔP_net(t_δ) ≡ P_inflow(t_δ) - P_outflow(t_δ),BD_04; BD_05,질량-운동 (Mass-Motion)
MASS_08,최종 고착된 질량 (객체 질량),Final Fixed Mass (Object Mass),m_fixed,축적된 결과량 (Accumulated Result),1단위 간극_시간(t_δ)이 중첩(Σ)되면서 경계 내부에 쌓이고 축적된 총 체류 압력의 누적 합산량,m_fixed ≡ Σ [P_inflow(t_δ) - P_outflow(t_δ)] ≡ V * ρ,BD_04; BD_05,질량 (Mass)
